id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
51946,Eloqcoll,Eloquent Driscoll,1997-10-7,San Salvador,48751,54,F,45,166
51947,Strtras,Poitras Strange,2003-1-9,New Delhi,47437,77,M,62,185
51948,Modde,Modest Ride,2008-4-9,Honiara,11923,160,M,63,174
51949,Helligent,Intelligent Hellman,2002-9-7,Singapore,93507,157,F,50,166
51950,Mystichel,Mystifying Herschel,2005-3-17,Sofia,9767,26,M,65,179
51951,Thioshi,Satoshi Thirsty,2004-8-18,Sarajevo,35802,22,F,50,158
51952,Chaparp,Chaplygin Sharp,2006-1-2,Yamoussoukro,80187,42,M,55,185
51953,Aryasy,Aryabhata Busy,2008-1-15,Addis Ababa,71783,58,M,63,182
51954,Boene,Serene Bose,2004-6-6,Funafuti province,5775,182,F,49,162
51955,Pintic,Pike Pedantic,2007-3-6,Majuro,93434,110,F,54,160
51956,Godney,Goofy Dewdney,2006-11-10,Andorra la Vella,2011,4,M,55,177
51957,Awehr,Bohr Awesome,2000-9-16,Manama,80670,13,F,55,166
51958,Stumoto,Matsumoto Stoic,2006-3-14,Prague,92318,46,F,45,156
51959,Viginson,Johnson Vigilant,2005-10-19,Brazzaville,35559,39,F,41,169
51960,Blisson,Edison Blissful,2006-6-13,Luanda,31271,5,M,65,182
51961,Moling,Dazzling Moser,2005-10-14,Malabo,55643,55,F,41,167
51962,Torving,Loving Torvalds,1996-12-5,Chisinau,30776,115,F,40,160
51963,Lules,Wiles Lucid,2007-11-11,Cairo,33884,53,M,56,177
51964,Kelby,Keen Kilby,2001-1-14,Conakry,83889,70,F,47,162
51965,Infalrland,Infallible Sutherland,1996-1-22,Harare,98448,40,M,63,180
51966,Bouing,Bouman Loving,1997-3-7,Jerusalem,66788,82,M,65,183
51967,Upbsla,Tesla Upbeat,2003-4-21,Tegucigalpa,30965,74,F,42,169
51968,Hardghelli,Hardcore Ardinghelli,2006-7-3,Maputo,93706,120,M,57,185
51969,Beairing,Inspiring Beaver,2004-6-28,Funafuti province,24049,182,M,61,181
51970,Snyrky,Quirky Snyder,1997-2-10,Bishkek,23648,93,M,63,175
51971,Kigle,Kind Hugle,1996-12-22,Monte Carlo,73132,116,F,53,167
51972,Nally,Silly Nash,1997-2-16,Dublin,93265,81,F,43,159
51973,Shatical,Shamir Practical,2005-5-19,Managua,95238,127,M,55,180
51974,Strack,Black Strange,2001-12-8,Muscat,38544,131,M,59,177
51975,Chattmined,Chatterjee Determined,2007-6-17,Budapest,91506,75,F,44,162
51976,Gracstra,Dijkstra Gracious,2004-1-8,Buenos Aires,23694,7,M,55,184
51977,Elakov,Liskov Elated,2002-6-21,Bratislava,5482,158,M,65,185
51978,Quizran,Quizzical Curran,1998-9-8,Port-of-Spain,28317,178,F,42,162
51979,Excimann,Hermann Exciting,2005-3-6,Monte Carlo,30010,116,F,52,169
51980,Proskuffled,Proskuriakova Unruffled,2007-10-2,Mbabane,72431,168,F,47,163
51981,Distrnnon,Distracted Shannon,2003-3-10,Kuala Lumpur,39472,106,F,52,161
51982,Gifelet,Gifted Chatelet,1998-6-22,Canberra,30881,9,F,47,158
51983,Ptolible,Infallible Ptolemy,2008-10-10,Bangkok,96987,175,F,45,166
51984,Xenodath,Xenodochial Yonath,1997-7-24,Abu Dhabi,70963,185,M,59,173
51985,Mcclintic,Mcclintock Pedantic,1998-11-25,San Salvador,15623,54,M,63,179
51986,Coke,Cool Pike,2007-5-15,Doha,87308,142,F,52,155
51987,Dazznujan,Ramanujan Dazzling,2003-3-20,Niamey,9240,128,F,45,156
51988,Nostuss,Nostalgic Gauss,2000-5-4,Kuala Lumpur,17221,106,F,46,160
51989,Knvous,Knuth Nervous,2003-3-24,Lima,32663,138,F,41,166
51990,Heurison,Heuristic Jemison,2003-7-27,Honiara,93613,160,F,46,165
51991,Difce,Diffie Nice,1996-8-26,Tbilisi,38697,64,F,53,167
51992,Kapepy,Kapitsa Sleepy,2005-9-26,Taipei,82036,172,F,43,158
51993,Ecstttani,Ecstatic Albattani,2002-3-27,Mogadishu,61835,161,M,59,178
51994,Serasekhar,Chandrasekhar Serene,2000-9-15,Porto-Novo,92920,19,F,40,160
51995,Anver,Beaver Angry,2001-6-13,Saint John’s,18664,6,M,65,179
51996,Thielet,Chatelet Thirsty,2007-9-20,Dhaka,511,14,F,45,159
51997,Pald,Bold Pare,2003-4-16,Melekeok,59182,133,F,44,170
51998,Engeeless,Priceless Engelbart,1996-4-12,Dodoma,32119,174,M,56,176
51999,Elesh,Elegant Nash,2006-8-7,Jerusalem,83105,82,F,40,155
52000,Bouring,Bouman Admiring,2008-2-29,Bogota,39781,37,F,53,168
52001,Chandrsive,Chandrasekhar Pensive,1999-10-26,Kathmandu,63622,124,M,64,184
52002,Sollly,Silly Solomon,2007-11-2,Ankara,77588,180,M,61,170
52003,Solring,Admiring Solomon,1997-3-14,Maputo,1921,120,M,57,171
52004,Quiois,Quirky Galois,1996-1-9,Luanda,6391,5,M,56,181
52005,Tering,Tesla Adoring,2008-1-28,Juba,68449,163,F,42,158
52006,Goldwused,Goldwasser Focused,2008-9-19,Mexico City,88667,113,F,55,168
52007,Cotner,Meitner Cool,1996-10-20,Dakar,67506,153,M,57,170
52008,Rilant,Gallant Ride,2005-3-28,Tashkent,28214,189,M,58,179
52009,Drislible,Driscoll Infallible,2005-4-26,San Jose,32099,41,M,63,184
52010,Elggry,Hungry Elgamal,1995-11-24,Yaren District,6963,123,F,44,157
52011,Frieick,Friendly Golick,1996-10-22,Tirane,79720,2,F,42,170
52012,Shocling,Shockley Dazzling,2002-6-18,Canberra,94519,9,F,54,156
52013,Teresical,Magical Tereshkova,2003-2-14,Stockholm,45420,169,F,40,162
52014,Anssi,Bassi Angry,2007-5-11,Luxembourg,34786,102,F,54,165
52015,Rafty,Nifty Raman,2001-3-26,Madrid,60675,164,F,43,159
52016,Nison,Carson Nice,2003-11-29,Cape Town,11666,162,F,41,160
52017,Brkara,Bhaskara Brave,1997-3-29,Dublin,68791,81,M,59,180
52018,Interison,Interesting Jemison,2006-12-28,Dakar,68886,153,F,46,162
52019,Viblbart,Engelbart Vibrant,2004-10-6,Gaborone,81629,23,F,44,158
52020,Mendetent,Mendeleev Competent,2008-5-8,Reykjavik,28199,76,F,55,165
52021,Panarp,Sharp Panini,2001-7-27,Port-Vila,54070,190,F,54,160
52022,Franlous,Franklin Zealous,1995-6-12,Kingstown ,1911,148,M,55,182
52023,Stoneofy,Goofy Stonebraker,2007-9-18,Guatemala City,17586,69,M,64,180
52024,Stuping,Turing Stupefied,2002-3-23,Ljubljana,27097,159,F,53,157
52025,Naunman,Naughty Feynman,2004-8-1,Bishkek,42313,93,M,64,185
52026,Gowell,Maxwell Goofy,2006-9-5,Kampala,77390,183,F,42,161
52027,Chazy,Crazy Chaum,2004-10-14,Ankara,91216,180,F,49,156
52028,Elgry,Elion Hungry,1998-11-21,Kathmandu,78868,124,F,42,163
52029,Galsive,Galileo Pensive,2007-9-19,Minsk,34651,16,F,52,160
52030,Kalible,Kalam Infallible,2001-9-9,Kabul,73652,1,M,62,178
52031,Breless,Brown Priceless,2003-5-22,Male,35646,107,M,62,181
52032,Fronujan,Ramanujan Frosty,2003-3-8,Saint John’s,62515,6,F,43,162
52033,Slekey,Leakey Sleepy,2001-6-2,Kathmandu,6288,124,F,45,167
52034,Revevitt,Reverent Leavitt,1998-1-22,Ramallah,42287,134,F,42,162
52035,Cartwring,Admiring Cartwright,2001-11-17,Phnom Penh,25875,29,F,52,167
52036,Cleton,Newton Clever,2001-12-15,London,75855,186,F,48,162
52037,Shocing,Loving Shockley,2001-1-6,Saint George’s,75642,68,F,48,161
52038,Deteryshev,Chebyshev Determined,2000-11-29,Baku,84804,11,F,52,169
52039,Intelnon,Intelligent Cannon,2002-5-12,Palikir,1009,114,M,58,172
52040,Upbdes,Upbeat Rhodes,1999-6-11,Majuro,97046,110,M,59,185
52041,Vigire,Pare Vigilant,2000-7-29,Lilongwe,88181,105,M,56,184
52042,Quison,Carson Quirky,1998-10-5,Asuncion,75686,137,M,60,181
52043,Pracyne,Payne Practical,2004-4-3,N’Djamena,23171,34,F,40,158
52044,Hawen,Hawking Zen,1997-6-4,Bamako,93282,108,M,58,174
52045,Nilind,Nice Rosalind,1996-5-19,San Salvador,64137,54,F,40,160
52046,Mahacore,Hardcore Mahavira,2001-6-6,Lisbon,32447,141,M,62,183
52047,Epdes,Epic Rhodes,2006-12-13,Thimphu,74523,20,F,40,157
52048,Drelman,Perlman Dreamy,2006-7-5,Vilnius,14629,101,F,42,165
52049,Pasused,Focused Pasteur,1998-2-6,Budapest,61303,75,F,48,166
52050,Rhorent,Rhodes Reverent,1999-9-29,Palikir,79260,114,M,64,182
52051,Archiuent,Archimedes Eloquent,1995-4-26,Helsinki,9637,60,M,65,183
52052,Heetent,Hertz Competent,2004-11-5,Nuku’alofa,71996,177,F,51,170
52053,Znnon,Zen Shannon,1996-8-17,London,36880,186,F,50,156
52054,Albairing,Inspiring Albattani,1996-9-22,Ouagadougou,61442,27,M,64,173
52055,Kapiring,Inspiring Kapitsa,2002-1-28,Vatican City,15261,191,F,41,164
52056,Mccagry,Angry Mccarthy,2007-7-10,Brazzaville,55913,39,F,40,158
52057,Admiings,Jennings Admiring,2004-6-7,Roseau,57082,49,F,45,162
52058,Compinci,Davinci Competent,2003-1-28,San Salvador,95703,54,M,64,172
52059,Menfty,Mendel Nifty,1999-7-14,Tallinn,25205,57,F,40,169
52060,Lovenky,Lovelace Cranky,1997-12-8,Damascus,18027,171,M,65,185
52061,Loveoyant,Flamboyant Lovelace,2008-4-13,Kuwait City,15630,92,F,40,158
52062,Quizarin,Quizzical Gagarin,1996-10-2,Sri Jayewardenepura Kotte,27283,165,M,64,170
52063,Coeat,Great Cohen,2002-6-23,Lilongwe,64496,105,M,64,174
52064,Beated,Agitated Benz,2008-12-26,Moscow,21336,144,F,55,165
52065,Ardintiful,Beautiful Ardinghelli,1996-6-15,Vaduz,20961,100,F,44,164
52066,Tentain,Tender Brattain,2002-12-21,Praia,26034,32,F,48,166
52067,Khoepy,Sleepy Khorana,1998-11-21,Ottawa,49233,31,F,43,163
52068,Thicoff,Wescoff Thirsty,1995-2-21,Taipei,70748,172,M,59,181
52069,Heurerson,Sanderson Heuristic,2000-6-20,Montevideo,72422,188,M,60,182
52070,Jovini,Jovial Panini,1996-3-7,Gitega,74639,28,M,58,179
52071,Kieet,Kirch Sweet,2005-1-22,Doha,69496,142,F,42,157
52072,Bouring,Bouman Adoring,2003-8-9,Bangui,92192,33,M,60,182
52073,Lovvaraya,Visvesvaraya Loving,1998-7-2,Wellington,40893,126,M,64,183
52074,Almling,Dazzling Almeida,2004-11-3,Bridgetown,88214,15,M,65,178
52075,Coger,Cohen Eager,2006-3-10,Lome,87312,176,M,60,174
52076,Jaofy,Jang Goofy,2000-7-11,Monte Carlo,70839,116,M,55,180
52077,Hamedes,Happy Archimedes,2000-2-8,Sarajevo,58278,22,M,55,185
52078,Nostwan,Dhawan Nostalgic,2005-6-17,Sofia,47747,26,M,56,174
52079,Fescoff,Wescoff Festive,2001-6-11,Dili,30735,51,F,45,168
52080,Agntical,Practical Agnesi,2001-10-12,Malabo,50120,55,F,49,169
52081,Einsefied,Einstein Stupefied,2005-1-19,Asmara,45726,56,M,65,183
52082,Borick,Boring Golick,2008-10-7,Algiers,11291,3,F,53,163
52083,Dijking,Dijkstra Musing,2000-7-17,Paris,32874,61,M,65,185
52084,Boison,Jemison Bold,2005-8-4,Tripoli,38583,99,F,44,170
52085,Trusking,Hawking Trusting,1999-1-18,Damascus,8628,171,F,45,168
52086,Chandreet,Sweet Chandrasekhar,2003-1-7,Bangkok,52876,175,M,56,176
52087,Nerarr,Nervous Lamarr,2001-9-6,Port Louis,57132,112,M,60,184
52088,Saeat,Great Saha,1997-7-9,Dodoma,46323,174,F,54,165
52089,Laugnell,Burnell Laughing,1999-5-28,Copenhagen,32261,47,M,62,173
52090,Confnell,Confident Burnell,2007-3-6,Buenos Aires,48370,7,F,46,163
52091,Craerson,Cranky Sanderson,2008-4-22,Riga,7048,95,M,55,179
52092,Bratffled,Unruffled Brattain,1998-7-7,Berlin,20709,65,F,53,158
52093,Trusyce,Trusting Noyce,1998-6-23,Kabul,95282,1,F,51,163
52094,Sinohful,Youthful Sinoussi,1999-3-22,Singapore,28341,157,F,48,162
52095,Budysh,Busy Keldysh,2007-12-3,Niamey,54859,128,F,41,163
52096,Recuumoto,Matsumoto Recursing,2005-9-27,Beirut,47570,96,M,64,183
52097,Deterlcini,Montalcini Determined,2007-12-3,Khartoum,71729,166,M,65,180
52098,Heyrnky,Heyrovsky Cranky,2008-8-5,Amsterdam,84920,125,M,59,176
52099,Shlis,Ellis Sharp,2005-4-25,Riga,87928,95,M,56,181
52100,Shiring,Shirley Admiring,2005-12-7,Hanoi,13076,193,M,58,176
52101,Hades,Happy Rhodes,2007-12-6,Yamoussoukro,12741,42,F,46,170
52102,Borbur,Wilbur Boring,2005-4-17,Washington D.C.,49178,187,F,43,156
52103,Vibuss,Vibrant Gauss,1996-11-27,Gitega,48513,28,M,58,174
52104,Vigostel,Feistel Vigorous,1996-3-29,Doha,70436,142,F,49,163
52105,Grotheest,Grothendieck Modest,2006-11-14,Luanda,38284,5,M,65,183
52106,Pictive,Objective Pike,1999-8-16,Niamey,28617,128,M,65,182
52107,Shatiful,Beautiful Shamir,2002-1-26,Kingston,3747,84,F,41,170
52108,Flambser,Moser Flamboyant,1995-12-2,Sofia,24053,26,F,51,166
52109,Sinoaxed,Relaxed Sinoussi,2001-4-15,Rome,38925,83,F,55,163
52110,Poinionate,Affectionate Poincare,1995-11-17,Montevideo,36539,188,M,65,176
52111,Kiious,Gracious Kirch,2001-7-18,Stockholm,83926,169,M,63,172
52112,Jepistic,Heuristic Jepsen,1996-3-29,Ankara,98947,180,F,49,166
52113,Lovlind,Loving Rosalind,1997-10-27,Castries,79195,147,F,53,164
52114,Beaing,Loving Beaver,2001-5-18,Phnom Penh,15715,29,M,65,185
52115,Varahalible,Infallible Varahamihira,1999-3-11,Sao Tome,47235,151,M,55,184
52116,Paffled,Payne Unruffled,2002-1-25,Maputo,91365,120,M,62,182
52117,Tende,Ride Tender,2001-11-12,Lima,95505,138,F,46,167
52118,Pedare,Pedantic Kare,1996-12-2,Saint George’s,60375,68,F,44,159
52119,Shaatic,Shannon Ecstatic,1999-4-5,Kingstown ,76790,148,M,58,182
52120,Satistic,Satoshi Heuristic,1999-8-28,Jakarta,18436,78,M,56,180
52121,Cold,Bold Cori,2002-2-13,Sao Tome,5696,151,F,48,161
52122,Shocligent,Shockley Intelligent,2003-1-29,Cairo,12567,53,F,47,164
52123,Drevaraya,Visvesvaraya Dreamy,1998-7-9,Warsaw,29624,140,M,60,181
52124,Galrent,Reverent Galileo,2007-6-8,Muscat,52426,131,M,56,182
52125,Nostzai,Banzai Nostalgic,2007-2-2,Yamoussoukro,83096,42,F,43,156
